LSOA11CD,total_area,area_covered
E01029098,664630.1583248951,664630.1583248953
E01029099,298528.28221693845,298528.28221693856
E01029100,259169.60262684658,259169.60262684655
E01029101,202566.02820532626,202566.02820532638
E01029102,332007.0838517306,332007.0838517307
E01029103,4668214.567036869,2122454.94033491
E01029104,720049.5213187361,720049.521318736
E01029105,463529.0240165223,463529.02401652216
E01029106,504288.71597165766,504288.7159716576
E01029107,216010.96725463288,216010.9672546329
E01029108,455017.768483538,455017.7684835381
E01029109,454206.0436094815,454206.0436094814
E01029110,379070.0004948559,379070.000494856
E01029111,322339.43040974723,322339.43040974723
E01029112,467533.87180841574,467533.87180841574
E01029113,1826890.1125169734,868337.3253220813
E01029114,653410.9627950771,620727.5809269799
E01029115,1084445.2291167586,798603.9871088904
E01029116,439394.40871823725,439394.4087182373
E01029117,340478.8749279769,340478.8749279769
E01029118,289188.29657706514,289188.2965770651
E01029119,337514.09832274925,337514.09832274937
E01029120,263927.8900765734,263927.8900765734
E01029121,19298393.301055245,1146291.2042725259
E01029122,20992983.016977232,4174776.5803015893
E01029123,2975769.9928169283,1081497.8365317886
E01029124,19028732.664386876,1480553.0757670342
E01029125,44748937.080949135,1262229.9828103618
E01029126,2520666.6413274664,845552.6211709694
E01029127,685926.627586246,685926.627586246
E01029128,25857424.062656168,2003808.4743127588
E01029129,13028365.590997295,2601708.9481064877
E01029130,34045927.79031874,6196508.845784213
E01029131,998668.4145368959,994740.417344155
E01029132,469669.3147877811,456402.0780344646
E01029133,952610.4593774959,899447.8440114125
E01029134,1338334.2436202052,1185212.9071534225
E01029135,18746374.697941393,5838435.532399665
E01029136,17503406.96680832,5807279.424930872
E01029137,25200456.39019761,10905879.773887927
E01029138,2526396.272504496,1321552.844742854
E01029139,23004423.91364643,4871824.129179039
E01029140,21230083.830494426,6705312.855347593
E01029142,1056844.6103955891,743883.4954045445
E01029143,1014377.0102807172,635008.9937696478
E01029144,20213317.872997098,636670.0573232893
E01029145,6663329.8432932515,2751721.091352093
E01029147,28727288.91289259,858966.469409931
E01029148,12913364.7623231,1845835.5106131765
E01029149,21455843.40819184,3098639.216926431
E01029150,18655493.875892125,1787214.987691947
E01029151,9810605.4547657,2394833.6066760328
E01029152,7176474.544956901,3639683.6492029754
E01029153,54996744.156775385,1643911.5557071457
E01029154,17184099.668441508,2411343.1277357684
E01029155,44501491.55123595,5265777.6685411045
E01029156,12743644.936810931,2253392.84189348
E01029157,1034777.8719717618,646982.7977203169
E01029158,15153326.259487597,940022.416306717
E01029159,795732.2093470003,682391.7270025474
E01029160,4647838.396836739,1461810.2609696412
E01029161,238051.26448978717,238051.26448978722
E01029162,425417.6836952231,425417.6836952232
E01029163,31292262.654533837,4712425.416601398
E01029164,16040998.894276453,2390556.842666901
E01029165,17794870.31498714,1401719.1254949481
E01029166,52063262.60105168,3450914.0912022246
E01029167,798775.5355546768,604269.4313294801
E01029168,5302935.497889246,1635576.269736928
E01029169,2243329.778099662,979327.1208114135
E01029170,191362.54305795318,191362.54305795312
E01029171,843653.505503668,830154.1076520233
E01029172,518606.85502843064,511078.56832373294
E01029173,496360.2004149692,344534.4492915367
E01029174,367003.44617645064,364071.97842067905
E01029175,428529.8518694062,412233.22205936874
E01029176,902371.2862667259,900160.9814044118
E01029177,321372.6497095869,321372.6497095869
E01029178,11463409.696400482,3690690.9728440866
E01029179,1357857.0692259306,644217.2008391693
E01029180,27112524.829053,1892798.7793201695
E01029181,6799043.135809814,1698725.9985750678
E01029182,6018498.28911537,1687933.4292241498
E01029183,393661.75733034365,347652.06856746564
E01029184,2629851.0057386453,1490099.6919104743
E01029185,1558026.1368120888,883986.0137746141
E01029186,401359.1336183614,401359.1336183613
E01029187,11102424.77880734,1316334.1105734357
E01029188,11890722.739785658,2809315.10888917
E01029189,732525.2736925853,366235.78288247157
E01029190,18847811.13895975,2650993.6959781405
E01029191,5487602.011471523,1526842.9475534712
E01029192,2871942.475250542,1616868.5928352566
E01029193,8910612.053822918,1098118.4432727261
E01029194,2641213.3040617686,1714234.8430305452
E01029195,2056069.1886612887,601744.5759917283
E01029196,22457742.82520276,2749190.9523847154
E01029197,25418865.887071405,4330389.1923474
E01029198,1770022.0612002332,801056.0430095654
E01029199,35903696.80227155,2290167.900743276
E01029200,835033.0748411136,800851.0378865685
E01029201,5385959.55700251,2589113.278115678
E01029202,3272781.2173632802,838856.4177911833
E01029203,21243509.090701364,5786123.862333652
E01029204,3978321.5279672253,1419756.8782678698
E01029205,695465.9317893293,512317.7196642533
E01029206,4754530.680347456,1432412.834612416
E01029207,8599106.017087085,1058647.5896006625
E01029208,11252899.839101613,1682106.135048552
E01029209,17036893.813750215,800464.9166277901
E01029210,11789817.242009785,2866678.465155489
E01029211,23568400.829770535,5133370.674286104
E01029212,12352385.884417716,2091029.0509874763
E01029213,14602568.03051445,1411702.4240843514
E01029214,15366255.408802425,1604098.8633470084
E01029215,6160151.742047549,1469680.5366227278
E01029216,11330242.813322049,2461598.2032928853
E01029217,12921081.929853892,3716286.5586393764
E01029218,1061746.1311829875,911140.9867713305
E01029219,14464394.745768147,1813508.5808182296
E01029220,535419.8438198768,497170.85921214044
