identifier,LSOA11CD,intersection_area
8cd0539b4e,E01017667,353497.6309912561
8cd0539b4e,E01017706,240816.24788203253
8cd0539b4e,E01017707,217292.62983261852
8cd0539b4e,E01017660,310063.1948386855
8cd0539b4e,E01017641,904460.377273913
8cd0539b4e,E01017664,223983.74589899633
8cd0539b4e,E01017705,2694684.8435601695
8cd0539b4e,E01032959,523912.6314983639
8cd0539b4e,E01032958,1166805.7272737203
7163b5dd1e,E01028764,565142.9986631991
7163b5dd1e,E01028765,200174.71442070336
7163b5dd1e,E01028801,469579.3471227209
1e40c94996,E01028482,107156.39016156872
1e40c94996,E01028507,231494.30500000616
1e40c94996,E01028481,405968.56310547935
1e40c94996,E01028423,785703.6384295294
1e40c94996,E01028422,611979.3282936501
1e40c94996,E01028475,901465.1787569085
1e40c94996,E01028434,323101.7315810205
1e40c94996,E01028449,208024.2249886782
1e40c94996,E01028450,227124.79366769464
1e40c94996,E01028448,228445.21832612538
1e40c94996,E01028430,393701.35074178415
1e40c94996,E01028453,181392.96131284998
1e40c94996,E01028454,316296.47399915796
1e40c94996,E01028447,178399.27746972683
1e40c94996,E01028433,370418.45896314946
1e40c94996,E01028428,270790.9630400011
1e40c94996,E01028432,662119.4135971388
1e40c94996,E01028426,206365.21529881496
1e40c94996,E01028429,345458.2693167413
1e40c94996,E01028431,526341.3526819078
1e40c94996,E01028427,301380.2322237237
1e40c94996,E01032942,323657.79911399493
1e40c94996,E01032941,606546.8426006675
1e40c94996,E01028435,405561.5113511084
1e40c94996,E01028509,14533.56063135708
1e40c94996,E01028452,233041.78771885458
1e40c94996,E01028451,271668.74745230895
1e40c94996,E01028444,321065.245577847
1e40c94996,E01028443,283735.5356118591
1e40c94996,E01028445,587404.7828307933
1e40c94996,E01032944,197734.8353641242
1e40c94996,E01028441,421586.9882624114
1e40c94996,E01032943,283817.7815365398
1e40c94996,E01028440,145442.80626506457
1e40c94996,E01028439,271458.1567384613
1e40c94996,E01028446,494917.9068644651
1e40c94996,E01028437,716188.542444226
1e40c94996,E01028438,555173.5043973576
1e40c94996,E01027291,113835.24829954907
7dcda224fe,E01028482,447238.40550398256
7dcda224fe,E01028481,946.0190767039344
5dd53f864d,E01023597,256915.24490879616
5dd53f864d,E01023598,244955.17509120167
3b917f6c5f,E01022562,189481.09273922193
3b917f6c5f,E01022512,239021.90864103055
3b917f6c5f,E01022510,358369.26978237566
3b917f6c5f,E01022477,282751.8205826965
3b917f6c5f,E01022468,281559.6730900986
3b917f6c5f,E01022467,1069519.0047991993
3b917f6c5f,E01022504,749922.0252212674
3b917f6c5f,E01022507,339046.10418843635
3b917f6c5f,E01022549,292237.42046858335
3b917f6c5f,E01022484,180029.281101349
3b917f6c5f,E01022506,282395.84950020874
3b917f6c5f,E01022481,517990.21108215605
3b917f6c5f,E01022552,286137.5966843728
3b917f6c5f,E01022487,197918.51980602913
3b917f6c5f,E01022550,650884.3322139549
3b917f6c5f,E01022503,472862.6590472723
3b917f6c5f,E01022551,549354.8871475856
3b917f6c5f,E01022482,352619.3531848566
3b917f6c5f,E01022502,372186.5634483484
3b917f6c5f,E01032847,1229662.6797178222
3b917f6c5f,E01032845,297177.0751332025
3b917f6c5f,E01032846,166031.7496391431
3b917f6c5f,E01032842,130814.14278948006
3b917f6c5f,E01022568,414700.99318582873
3b917f6c5f,E01022469,538514.4005044077
3b917f6c5f,E01022566,284506.713020715
3b917f6c5f,E01022567,328713.59152232716
3b917f6c5f,E01022526,1260286.8833209833
3b917f6c5f,E01022527,402756.72397907847
3b917f6c5f,E01022471,477614.7987618157
3b917f6c5f,E01022570,340615.4732730947
3b917f6c5f,E01022525,515236.4989490523
3b917f6c5f,E01022524,271699.6431609804
3b917f6c5f,E01022523,1579068.182544203
3b917f6c5f,E01022543,516937.84683554183
3b917f6c5f,E01032840,543417.1493190664
3b917f6c5f,E01022542,197226.93960033686
3b917f6c5f,E01022540,374752.97165904025
3b917f6c5f,E01032841,275021.7386251803
3b917f6c5f,E01032844,507098.7358283703
3b917f6c5f,E01022470,1157448.5113883275
3b917f6c5f,E01022494,851574.6887449366
3b917f6c5f,E01022539,152087.05342129085
3b917f6c5f,E01032843,249240.8688655382
3b917f6c5f,E01032851,1081705.405630871
3b917f6c5f,E01022495,335798.37755582476
3b917f6c5f,E01022492,4257.806403615321
3b917f6c5f,E01022498,368385.44146710896
3b917f6c5f,E01022497,326388.1639076544
3b917f6c5f,E01022496,668818.8763696717
3b917f6c5f,E01022546,33753.31144425022
3b917f6c5f,E01022532,7422.2473350981745
3b917f6c5f,E01032848,226432.34029159634
3b917f6c5f,E01032849,205973.5579838679
3b917f6c5f,E01032850,439850.90035398793
3b917f6c5f,E01022511,302617.9174833697
3b917f6c5f,E01022518,435336.89738578623
3b917f6c5f,E01022519,472428.0721463398
3b917f6c5f,E01022509,275866.6531218276
3b917f6c5f,E01022479,223290.8020548781
3b917f6c5f,E01022480,173404.32665118403
3b917f6c5f,E01022478,217813.68473714052
3b917f6c5f,E01022475,528487.0931472165
3b917f6c5f,E01022474,431403.01433246495
3b917f6c5f,E01022476,317547.7283809736
3b917f6c5f,E01022515,814489.502295218
3b917f6c5f,E01022505,664803.0518846815
3b917f6c5f,E01022548,354016.0846577227
3b917f6c5f,E01022517,294495.6627223497
3b917f6c5f,E01022516,496345.42856894573
3b917f6c5f,E01022485,201635.63424857138
3b917f6c5f,E01022486,372260.1183417211
3b917f6c5f,E01022569,563251.280100989
3b917f6c5f,E01022531,17842.501098128054
3b917f6c5f,E01022547,51.28460804599828
16e77cd51f,E01016256,26426.999999999414
15c6866f3a,E01031873,302750.1296146318
15c6866f3a,E01031841,340.4890612135998
5b6ff892f6,E01004275,136048.81272804507
5b6ff892f6,E01004218,133790.78018332724
5b6ff892f6,E01004274,83720.78731932881
5b6ff892f6,E01004217,409795.69291732344
5b6ff892f6,E01032783,80785.39633503756
5b6ff892f6,E01004281,109026.57039835489
5b6ff892f6,E01032775,28604.70067680406
5b6ff892f6,E01004216,85400.55105380528
5b6ff892f6,E01004280,110005.03726317611
5b6ff892f6,E01032774,129705.6436029522
5b6ff892f6,E01004215,255200.7067569983
5b6ff892f6,E01004214,65338.77524073693
5b6ff892f6,E01032770,43909.85005131602
5b6ff892f6,E01032773,26389.748407466544
5b6ff892f6,E01032772,65630.2800780291
5b6ff892f6,E01032781,53025.603242185476
5b6ff892f6,E01032782,53092.387638082815
5b6ff892f6,E01004221,128103.8035717509
5b6ff892f6,E01032771,121138.29406023081
5b6ff892f6,E01032780,216191.4249415999
5b6ff892f6,E01004277,246457.38514535103
5b6ff892f6,E01032779,27126.39138792291
5b6ff892f6,E01032776,62358.137282567324
5b6ff892f6,E01033574,51387.42040652299
5b6ff892f6,E01003611,120631.35510093624
5b6ff892f6,E01033577,424116.8255447916
5b6ff892f6,E01003609,602663.9248125443
5b6ff892f6,E01033582,80914.62897825615
5b6ff892f6,E01033581,172347.75442144056
5b6ff892f6,E01033580,74976.66809584362
5b6ff892f6,E01033575,80427.98022085657
5b6ff892f6,E01003515,485667.6358596133
5b6ff892f6,E01004258,92862.78747582648
5b6ff892f6,E01004256,120423.76619480876
5b6ff892f6,E01004257,109396.2883984052
5b6ff892f6,E01004219,181479.4194594238
5b6ff892f6,E01004255,95380.92416974451
5b6ff892f6,E01032777,96542.2893231905
5b6ff892f6,E01033576,165583.4186915397
5b6ff892f6,E01032778,196780.82417828543
5b6ff892f6,E01004254,142072.24292064417
5b6ff892f6,E01033584,134097.48690851324
5b6ff892f6,E01003480,227223.89039552174
5b6ff892f6,E01003506,106340.26361323327
5b6ff892f6,E01003481,246784.11557591776
