"uwwState","rptMStateKey","uwwID","uwwCode","uwwName","uwwBODIncoming","uwwCODIncoming","uwwNIncoming","uwwPIncoming","uwwBODDischarge","uwwCODDischarge","uwwNDischarge","uwwPDischarge","QAflag","Remark"
106,"CZ",206662,"CZ2113-602060-46357009-4/1U","COV Milovice - B. Vrutice",131.7,184.7,,4.6,1.3,11.3,,0.4," "," "
106,"CZ",206663,"CZ2113-689556-00239402-4/1U","COV Lysa nad Labem - Litol",243.3,404.4,51.7,6.1,3.8,24.6,17.9,1.8," "," "
106,"CZ",206664,"CZ2114-692816-26160455-4/1U","COV Melnik",176,413.1,51.9,5.8,5.1,35.8,8.3,1.3," "," "
106,"CZ",206665,"CZ2115-600831-46356983-4/1U","COV Bakov nad Jizerou",73.3,137.1,18.5,2.3,0.9,7.6,9.1,1," "," "
106,"CZ",206666,"CZ2115-601705-46356983-4/1U","COV Bela pod Bezdezem",62.2,143.9,16.7,2.2,1.4,11.1,8.1,0.9," "," "
106,"CZ",206667,"CZ2115-602124-46356983-4/1U","COV Benatky nad Jizerou",130.8,292.4,34,4.8,1.8,16.2,5.6,1.3," "," "
106,"CZ",206668,"CZ2115-627470-46356983-4/1U","COV Dobrovice",28.2,59,10.1,1.1,0.5,5.5,2.1,0.4," "," "
106,"CZ",206669,"CZ2115-628735-00237680-4/1U","COV Dolni Bousov",121.7,,13.6,2.4,1.1,7.4,4,0.5," "," "
106,"CZ",206670,"CZ2115-696641-46356983-4/1U","COV Mlada Boleslav - Neuberk",714.9,1343.8,124.5,16.9,7.6,65.7,16.9,4.5," "," "
106,"CZ",206671,"CZ2115-900125-46356983-4/1U","COV Mlada Boleslav - Podlazky",783.8,,119.5,18.7,7.3,60,19.3,2.9," "," "
106,"CZ",206672,"CZ2116-697575-46356983-4/1U","COV Mnichovo Hradiste",139.5,291.7,31.4,4.9,1.3,13.5,10.6,1.4," "," "
106,"CZ",206673,"CZ2117-670189-00236951-4/1U","COV Kostelec nad Labem",77.7,,5.7,2.1,1.4,9.9,5.7,0.6," "," "
106,"CZ",206674,"CZ2117-703567-45147787-4/1U","COV SPOLANA",1986.3,3948.9,643.5,4.7,47.4,398.2,264.3,2.4," "," "
106,"CZ",206675,"CZ2117-703621-00662241-4/1U","COV Libis",14.7,30.8,7.2,0.6,0.8,3.8,1.2,0.3," "," "
106,"CZ",206676,"CZ2118-708232-00239500-4/1U","COV Nymburk",753.9,1650,,12.1,5.8,43.7,14.3,1.3," "," "
106,"CZ",206677,"CZ2118-745928-46357009-4/1U","COV Sadska",95,149.5,,,1.4,8.3,,0.3," "," "
106,"CZ",206678,"CZ2119-693286-00239437-4/1U","COV Mestec Kralove",73.7,98.4,,2.3,4,15.3,,0.7," "," "
106,"CZ",206679,"CZ2119-723495-00239640-4/1U","COV Podebrady",550,1348.9,,18.4,14.5,64.6,26.9,1.5," "," "
106,"CZ",206680,"CZ2120-614271-00242004-4/1U","COV Breznice",20.5,55.7,14.1,1.2,1.4,10.2,4.6,0.1," "," "
106,"CZ",206681,"CZ2120-633364-48955001-4/1U","COV Dubenec",39.7,98.8,11.2,1.6,0.9,7.2,3.5,0.6," "," "
106,"CZ",206682,"CZ2120-660281-00242381-4/1U","COV Jince",46.7,133.7,14.2,1.7,0.7,4.6,2,0.3," "," "
106,"CZ",206683,"CZ2120-694975-00242730-4/1U","COV Milin",29.7,78.7,9.1,1.5,0.5,3.3,1.9,0.2," "," "
106,"CZ",206684,"CZ2120-735426-00243132-4/1U","COV Pribram",770.3,1882,195.4,27.3,11.8,88.6,24,2.9," "," "
106,"CZ",206685,"CZ2120-742848-00243221-4/1U","COV Rozmital pod Tremsinem",69.4,155.3,18.7,2.5,1.7,12.2,9.8,0.8," "," "
106,"CZ",206686,"CZ2121-706744-00244155-4/1U","COV Nove Straseci",97.1,181.7,20.3,2.9,1.4,8.7,3.7,0.6," "," "
106,"CZ",206687,"CZ2121-739081-47019549-4/1U","COV Rakovnik",542.5,1267.8,94.8,11.9,12.6,58.6,16.8,2.7," "," "
106,"CZ",206688,"CZ2122-662445-00240273-4/1U","COV Kamenice - Ladvi",3.5,7,0.9,0.1,0.1,0.6,0.3,0," "," "
106,"CZ",206689,"CZ2122-662500-00240273-4/1U","COV Kamenice",51.7,105.2,13.5,2.3,0.8,8,3.4,0.1," "," "
106,"CZ",206690,"CZ2122-662500-00240354-4/1U","COV Kamenice - Kostelec u Krizku",23.6,,2.9,0.3,0.5,2.8,0.5,0," "," "
106,"CZ",206691,"CZ2122-670162-00235474-4/1U","COV Kostelec - nemocnice",34.3,83.4,13.4,1.6,0.5,3.5,3,2.2," "," "
106,"CZ",206692,"CZ2122-670162-00235474-4/2U","COV Kostelec - Lazenska",0.2,0.4,0.4,0,0.1,0.2,0.1,0.1," "," "
106,"CZ",206693,"CZ2122-697541-00240478-4/1U","COV Mnichovice",60.8,208.1,13.6,15.1,1.4,12,6.6,0.4," "," "
106,"CZ",206694,"CZ2122-745456-00240702-4/1U","COV Ricany u Prahy",293.6,701.6,83.2,9.6,5,38.2,9.9,1," "," "
106,"CZ",206695,"CZ2122-745537-45800995-4/1U","COV Ricany u Prahy - Jazlovice",30.5,,8,0.8,0.3,1.9,2.1,0.2," "," "
106,"CZ",206696,"CZ2122-779342-45357366-4/1U","COV Velke Popovice - centralni",,,,,2.1,21.3,4.6,0.2," "," "
106,"CZ",206697,"CZ2123-746533-00243272-4/1U","COV Sedlcany",282.2,541.1,50.6,8.3,1.9,16.2,5.8,0.4," "," "
106,"CZ",206698,"CZ2123-746827-00232645-4/1U","COV Sedlec-Prcice",30.5,61.6,9.3,1.4,0.7,6.5,2.9,0.3," "," "
